CloneID,S0,P0,Tube,plate_treatment,A0,mm,A1,S1,I1,E1
1,1,0,1,A45_0,42895.66667,1.152,42080,1,0,0
1,1,0,2,A45_0,42895.66667,1.229,39090.5,1,0,0
1,1,0,3,A45_0,42895.66667,1.19,39154,1,0,0
1,1,0,5,A45_0,42895.66667,1.286,39487,1,0,0
1,1,0,7,A45_0,42895.66667,1.21,41506,1,0,0
1,1,0,10,A45_0,42895.66667,1.152,40339,1,0,0
1,1,0,13,A45_0,42895.66667,1.114,14836.5,1,0,0
1,1,0,16,A45_0,42895.66667,1.21,42386,1,0,0
1,1,0,21,A45_0,42895.66667,1.344,41186.5,1,0,0
1,1,0,22,A45_0,42895.66667,1.248,42477.5,1,0,0
1,1,0,25,A45_0,42895.66667,1.19,38312.5,1,0,0
1,1,0,27,A45_0,42895.66667,1.306,40749.5,1,0,0
1,1,0,28,A45_0,42895.66667,1.248,38142,1,0,0
1,1,150,1,A45_150,46564.4,1.114,41543.5,0,1,0
1,1,150,2,A45_150,46564.4,1.286,39481.5,1,0,1
1,1,150,3,A45_150,46564.4,1.248,40296.5,0,1,0
1,1,150,5,A45_150,46564.4,1.248,46214,0,0,1
1,1,150,7,A45_150,46564.4,1.344,44836,0,0,1
1,1,150,8,A45_150,46564.4,1.21,43556.5,0,0,1
1,1,150,10,A45_150,46564.4,1.306,42238.5,0,1,0
1,1,150,11,A45_150,46564.4,1.344,36690,0,1,0
1,1,150,12,A45_150,46564.4,1.267,43191.5,1,0,1
1,1,150,13,A45_150,46564.4,1.21,45090,1,0,1
1,1,150,16,A45_150,46564.4,1.286,40304.5,1,0,1
1,1,150,20,A45_150,46564.4,1.056,40336,0,1,0
1,1,150,21,A45_150,46564.4,1.306,46203,0,1,0
1,1,150,22,A45_150,46564.4,1.306,43476,0,1,0
1,1,150,23,A45_150,46564.4,1.094,43483,0,1,0
1,1,150,24,A45_150,46564.4,1.133,46022.5,0,1,0
1,1,150,25,A45_150,46564.4,1.248,41745,1,0,1
1,1,150,26,A45_150,46564.4,1.325,45799,0,1,0
1,1,150,27,A45_150,46564.4,1.19,40007,0,1,0
1,1,150,28,A45_150,46564.4,1.306,42570.5,0,1,0
1,1,300,2,A45_300,44380.7,1.152,43584.5,0,0,1
1,1,300,3,A45_300,44380.7,1.075,42214,0,0,1
1,1,300,4,A45_300,44380.7,1.152,43171,0,1,0
1,1,300,5,A45_300,44380.7,1.44,40482,0,1,0
1,1,300,10,A45_300,44380.7,1.306,44184,0,1,0
1,1,300,11,A45_300,44380.7,1.325,41944,0,1,0
1,1,300,12,A45_300,44380.7,1.286,41871,0,0,1
1,1,300,13,A45_300,44380.7,1.382,37222.5,0,0,1
1,1,300,16,A45_300,44380.7,1.248,42662.5,0,1,0
1,1,300,17,A45_300,44380.7,1.248,44104,0,1,0
1,1,300,18,A45_300,44380.7,1.344,38807.5,0,1,0
1,1,300,20,A45_300,44380.7,1.382,40178,1,0,1
1,1,300,22,A45_300,44380.7,1.133,43391,1,0,1
1,1,300,24,A45_300,44380.7,1.152,39202,0,1,0
1,1,300,26,A45_300,44380.7,1.306,42522,1,0,1
1,1,300,27,A45_300,44380.7,1.286,37618,0,1,0
1,1,300,28,A45_300,44380.7,1.152,41136,1,0,1
1,1,300,29,A45_300,44380.7,1.152,43666,1,0,1
2,1,0,1,M252_0,48714.33333,1.248,43840.5,1,0,0
2,1,0,2,M252_0,48714.33333,1.094,41595,1,0,0
2,1,0,3,M252_0,48714.33333,1.19,47221.5,1,0,0
2,1,0,4,M252_0,48714.33333,1.152,44313,1,0,0
2,1,0,5,M252_0,48714.33333,1.21,42865.5,1,0,0
2,1,0,6,M252_0,48714.33333,1.133,41671.5,1,0,0
2,1,0,8,M252_0,48714.33333,1.21,43573.5,1,0,0
2,1,0,9,M252_0,48714.33333,1.152,35119.5,1,0,0
2,1,0,10,M252_0,48714.33333,1.248,45091.5,1,0,0
